,StateDesc,CityName,Category,Measure,Data_Value_Unit,DataValueTypeID,Data_Value,PopulationCount,Short_Question_Text
340342,Indiana,Hammond,Health Outcomes,Stroke among adults aged >=18 Years,%,AgeAdjPrv,3.9,80830.0,Stroke
340343,Indiana,Hammond,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,3.8,80830.0,Stroke
340384,Indiana,Indianapolis,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,17.1,820445.0,Health Insurance
340385,Indiana,Indianapolis,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,17.1,820445.0,Health Insurance
340600,Indiana,Indianapolis,Health Outcomes,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,23.2,820445.0,Arthritis
340601,Indiana,Indianapolis,Health Outcomes,Arthritis among adults aged >=18 Years,%,CrdPrv,22.3,820445.0,Arthritis
341041,Indiana,Indianapolis,Health Outcomes,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,31.0,820445.0,High Blood Pressure
341042,Indiana,Indianapolis,Health Outcomes,High blood pressure among adults aged >=18 Years,%,CrdPrv,29.9,820445.0,High Blood Pressure
341257,Indiana,Indianapolis,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,62.3,820445.0,Taking BP Medication
341258,Indiana,Indianapolis,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,75.7,820445.0,Taking BP Medication
341474,Indiana,Indianapolis,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,6.1,820445.0,Cancer (except skin)
341475,Indiana,Indianapolis,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,5.7,820445.0,Cancer (except skin)
341690,Indiana,Indianapolis,Health Outcomes,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,10.3,820445.0,Current Asthma
341691,Indiana,Indianapolis,Health Outcomes,Current asthma among adults aged >=18 Years,%,CrdPrv,10.3,820445.0,Current Asthma
341917,Indiana,Indianapolis,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,6.4,820445.0,Coronary Heart Disease
341918,Indiana,Indianapolis,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,6.0,820445.0,Coronary Heart Disease
342133,Indiana,Indianapolis,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,66.0,820445.0,Annual Checkup
342134,Indiana,Indianapolis,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,65.3,820445.0,Annual Checkup
342349,Indiana,Indianapolis,Prevention,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,72.2,820445.0,Cholesterol Screening
342350,Indiana,Indianapolis,Prevention,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,70.8,820445.0,Cholesterol Screening
342781,Indiana,Indianapolis,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,7.4,820445.0,COPD
342782,Indiana,Indianapolis,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,7.2,820445.0,COPD
343860,Indiana,Indianapolis,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,11.4,820445.0,Diabetes
343861,Indiana,Indianapolis,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,10.8,820445.0,Diabetes
344083,Indiana,Indianapolis,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,33.9,820445.0,High Cholesterol
344084,Indiana,Indianapolis,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,37.2,820445.0,High Cholesterol
344299,Indiana,Indianapolis,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,2.9,820445.0,Chronic Kidney Disease
344300,Indiana,Indianapolis,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,2.7,820445.0,Chronic Kidney Disease
344947,Indiana,Indianapolis,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,14.0,820445.0,Mental Health
344948,Indiana,Indianapolis,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,14.2,820445.0,Mental Health
345592,Indiana,Indianapolis,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,13.4,820445.0,Physical Health
345593,Indiana,Indianapolis,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,13.2,820445.0,Physical Health
346025,Indiana,Indianapolis,Health Outcomes,Stroke among adults aged >=18 Years,%,AgeAdjPrv,3.6,820445.0,Stroke
346026,Indiana,Indianapolis,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,3.4,820445.0,Stroke
346440,Indiana,Lafayette,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,15.8,67140.0,Health Insurance
346441,Indiana,Lafayette,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,16.1,67140.0,Health Insurance
346463,Indiana,Lafayette,Health Outcomes,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,24.6,67140.0,Arthritis
346464,Indiana,Lafayette,Health Outcomes,Arthritis among adults aged >=18 Years,%,CrdPrv,22.9,67140.0,Arthritis
346507,Indiana,Lafayette,Health Outcomes,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,30.7,67140.0,High Blood Pressure
346508,Indiana,Lafayette,Health Outcomes,High blood pressure among adults aged >=18 Years,%,CrdPrv,28.8,67140.0,High Blood Pressure
346530,Indiana,Lafayette,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,60.1,67140.0,Taking BP Medication
346531,Indiana,Lafayette,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,73.9,67140.0,Taking BP Medication
346552,Indiana,Lafayette,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,6.4,67140.0,Cancer (except skin)
346553,Indiana,Lafayette,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,6.0,67140.0,Cancer (except skin)
346575,Indiana,Lafayette,Health Outcomes,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,9.8,67140.0,Current Asthma
346576,Indiana,Lafayette,Health Outcomes,Current asthma among adults aged >=18 Years,%,CrdPrv,9.8,67140.0,Current Asthma
346597,Indiana,Lafayette,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,6.6,67140.0,Coronary Heart Disease
346598,Indiana,Lafayette,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,6.1,67140.0,Coronary Heart Disease
346619,Indiana,Lafayette,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,67.1,67140.0,Annual Checkup
346620,Indiana,Lafayette,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,66.1,67140.0,Annual Checkup
346641,Indiana,Lafayette,Prevention,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,71.8,67140.0,Cholesterol Screening
346642,Indiana,Lafayette,Prevention,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,68.8,67140.0,Cholesterol Screening
346685,Indiana,Lafayette,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,7.7,67140.0,COPD
346686,Indiana,Lafayette,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,7.3,67140.0,COPD
346793,Indiana,Lafayette,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,9.8,67140.0,Diabetes
346794,Indiana,Lafayette,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,9.0,67140.0,Diabetes
346815,Indiana,Lafayette,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,33.8,67140.0,High Cholesterol
346816,Indiana,Lafayette,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,36.7,67140.0,High Cholesterol
346837,Indiana,Lafayette,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,2.7,67140.0,Chronic Kidney Disease
346838,Indiana,Lafayette,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,2.5,67140.0,Chronic Kidney Disease
346902,Indiana,Lafayette,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,13.9,67140.0,Mental Health
346903,Indiana,Lafayette,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,14.1,67140.0,Mental Health
346957,Indiana,Lafayette,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,13.9,67140.0,Physical Health
346958,Indiana,Lafayette,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,13.3,67140.0,Physical Health
347001,Indiana,Lafayette,Health Outcomes,Stroke among adults aged >=18 Years,%,AgeAdjPrv,3.2,67140.0,Stroke
347002,Indiana,Lafayette,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,2.9,67140.0,Stroke
347044,Indiana,Muncie,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,17.3,70085.0,Health Insurance
347045,Indiana,Muncie,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,17.6,70085.0,Health Insurance
347072,Indiana,Muncie,Health Outcomes,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,28.1,70085.0,Arthritis
347073,Indiana,Muncie,Health Outcomes,Arthritis among adults aged >=18 Years,%,CrdPrv,24.3,70085.0,Arthritis
347128,Indiana,Muncie,Health Outcomes,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,35.5,70085.0,High Blood Pressure
347129,Indiana,Muncie,Health Outcomes,High blood pressure among adults aged >=18 Years,%,CrdPrv,31.0,70085.0,High Blood Pressure
347156,Indiana,Muncie,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,62.3,70085.0,Taking BP Medication
347157,Indiana,Muncie,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,73.7,70085.0,Taking BP Medication
347184,Indiana,Muncie,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,6.4,70085.0,Cancer (except skin)
347185,Indiana,Muncie,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,5.6,70085.0,Cancer (except skin)
347212,Indiana,Muncie,Health Outcomes,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,10.5,70085.0,Current Asthma
347213,Indiana,Muncie,Health Outcomes,Current asthma among adults aged >=18 Years,%,CrdPrv,10.8,70085.0,Current Asthma
347240,Indiana,Muncie,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,7.5,70085.0,Coronary Heart Disease
347241,Indiana,Muncie,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,6.7,70085.0,Coronary Heart Disease
347268,Indiana,Muncie,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,65.5,70085.0,Annual Checkup
347269,Indiana,Muncie,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,64.2,70085.0,Annual Checkup
347296,Indiana,Muncie,Prevention,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,69.7,70085.0,Cholesterol Screening
347297,Indiana,Muncie,Prevention,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,61.9,70085.0,Cholesterol Screening
347351,Indiana,Muncie,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,9.2,70085.0,COPD
347352,Indiana,Muncie,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,8.5,70085.0,COPD
347490,Indiana,Muncie,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,11.3,70085.0,Diabetes
347491,Indiana,Muncie,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,9.7,70085.0,Diabetes
347518,Indiana,Muncie,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,34.8,70085.0,High Cholesterol
347519,Indiana,Muncie,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,37.4,70085.0,High Cholesterol
347546,Indiana,Muncie,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,3.0,70085.0,Chronic Kidney Disease
347547,Indiana,Muncie,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,2.7,70085.0,Chronic Kidney Disease
347629,Indiana,Muncie,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,16.0,70085.0,Mental Health
347630,Indiana,Muncie,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,16.3,70085.0,Mental Health
347711,Indiana,Muncie,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,15.8,70085.0,Physical Health
347712,Indiana,Muncie,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,14.3,70085.0,Physical Health
347767,Indiana,Muncie,Health Outcomes,Stroke among adults aged >=18 Years,%,AgeAdjPrv,3.8,70085.0,Stroke
347768,Indiana,Muncie,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,3.4,70085.0,Stroke
347822,Indiana,South Bend,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,19.9,101168.0,Health Insurance
347823,Indiana,South Bend,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,19.7,101168.0,Health Insurance
347869,Indiana,South Bend,Health Outcomes,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,27.0,101168.0,Arthritis
347870,Indiana,South Bend,Health Outcomes,Arthritis among adults aged >=18 Years,%,CrdPrv,27.4,101168.0,Arthritis
347943,Indiana,South Bend,Health Outcomes,High blood pressure among adults aged >=18 Years,%,CrdPrv,36.2,101168.0,High Blood Pressure
347964,Indiana,South Bend,Health Outcomes,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,35.9,101168.0,High Blood Pressure
348010,Indiana,South Bend,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,62.9,101168.0,Taking BP Medication
348011,Indiana,South Bend,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,76.5,101168.0,Taking BP Medication
348057,Indiana,South Bend,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,6.2,101168.0,Cancer (except skin)
348058,Indiana,South Bend,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,6.4,101168.0,Cancer (except skin)
348104,Indiana,South Bend,Health Outcomes,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,10.5,101168.0,Current Asthma
348105,Indiana,South Bend,Health Outcomes,Current asthma among adults aged >=18 Years,%,CrdPrv,10.4,101168.0,Current Asthma
348152,Indiana,South Bend,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,7.3,101168.0,Coronary Heart Disease
348153,Indiana,South Bend,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,7.6,101168.0,Coronary Heart Disease
348199,Indiana,South Bend,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,66.3,101168.0,Annual Checkup
348200,Indiana,South Bend,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,66.4,101168.0,Annual Checkup
348247,Indiana,South Bend,Prevention,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,70.2,101168.0,Cholesterol Screening
348248,Indiana,South Bend,Prevention,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,69.7,101168.0,Cholesterol Screening
348340,Indiana,South Bend,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,8.5,101168.0,COPD
348341,Indiana,South Bend,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,8.6,101168.0,COPD
348573,Indiana,South Bend,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,12.3,101168.0,Diabetes
348574,Indiana,South Bend,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,12.3,101168.0,Diabetes
348620,Indiana,South Bend,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,33.3,101168.0,High Cholesterol
348621,Indiana,South Bend,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,37.9,101168.0,High Cholesterol
348667,Indiana,South Bend,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,3.1,101168.0,Chronic Kidney Disease
348668,Indiana,South Bend,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,3.1,101168.0,Chronic Kidney Disease
348807,Indiana,South Bend,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,14.9,101168.0,Mental Health
348808,Indiana,South Bend,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,14.8,101168.0,Mental Health
348945,Indiana,South Bend,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,15.2,101168.0,Physical Health
348946,Indiana,South Bend,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,15.3,101168.0,Physical Health
349039,Indiana,South Bend,Health Outcomes,Stroke among adults aged >=18 Years,%,AgeAdjPrv,3.9,101168.0,Stroke
349040,Indiana,South Bend,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,4.0,101168.0,Stroke
349132,Iowa,Cedar Rapids,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,8.8,126326.0,Health Insurance
349133,Iowa,Cedar Rapids,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,8.8,126326.0,Health Insurance
349172,Iowa,Cedar Rapids,Health Outcomes,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,22.8,126326.0,Arthritis
349173,Iowa,Cedar Rapids,Health Outcomes,Arthritis among adults aged >=18 Years,%,CrdPrv,23.3,126326.0,Arthritis
349253,Iowa,Cedar Rapids,Health Outcomes,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,28.9,126326.0,High Blood Pressure
349254,Iowa,Cedar Rapids,Health Outcomes,High blood pressure among adults aged >=18 Years,%,CrdPrv,29.3,126326.0,High Blood Pressure
349293,Iowa,Cedar Rapids,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,58.8,126326.0,Taking BP Medication
349294,Iowa,Cedar Rapids,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,75.3,126326.0,Taking BP Medication
349333,Iowa,Cedar Rapids,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,6.4,126326.0,Cancer (except skin)
349334,Iowa,Cedar Rapids,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,6.6,126326.0,Cancer (except skin)
349373,Iowa,Cedar Rapids,Health Outcomes,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,8.6,126326.0,Current Asthma
349374,Iowa,Cedar Rapids,Health Outcomes,Current asthma among adults aged >=18 Years,%,CrdPrv,8.6,126326.0,Current Asthma
349413,Iowa,Cedar Rapids,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,5.2,126326.0,Coronary Heart Disease
349414,Iowa,Cedar Rapids,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,5.4,126326.0,Coronary Heart Disease
349453,Iowa,Cedar Rapids,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,69.7,126326.0,Annual Checkup
349454,Iowa,Cedar Rapids,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,69.9,126326.0,Annual Checkup
349493,Iowa,Cedar Rapids,Prevention,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,73.3,126326.0,Cholesterol Screening
349494,Iowa,Cedar Rapids,Prevention,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,72.7,126326.0,Cholesterol Screening
349572,Iowa,Cedar Rapids,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,5.5,126326.0,COPD
349573,Iowa,Cedar Rapids,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,5.6,126326.0,COPD
349769,Iowa,Cedar Rapids,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,8.0,126326.0,Diabetes
349770,Iowa,Cedar Rapids,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,8.2,126326.0,Diabetes
349809,Iowa,Cedar Rapids,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,30.9,126326.0,High Cholesterol
349810,Iowa,Cedar Rapids,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,35.2,126326.0,High Cholesterol
349849,Iowa,Cedar Rapids,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,2.3,126326.0,Chronic Kidney Disease
349850,Iowa,Cedar Rapids,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,2.3,126326.0,Chronic Kidney Disease
349968,Iowa,Cedar Rapids,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,10.7,126326.0,Mental Health
349969,Iowa,Cedar Rapids,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,10.6,126326.0,Mental Health
350085,Iowa,Cedar Rapids,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,9.9,126326.0,Physical Health
350086,Iowa,Cedar Rapids,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,10.0,126326.0,Physical Health
350165,Iowa,Cedar Rapids,Health Outcomes,Stroke among adults aged >=18 Years,%,AgeAdjPrv,2.5,126326.0,Stroke
350166,Iowa,Cedar Rapids,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,2.6,126326.0,Stroke
350243,Iowa,Davenport,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,AgeAdjPrv,10.8,99685.0,Health Insurance
350244,Iowa,Davenport,Prevention,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,10.6,99685.0,Health Insurance
350279,Iowa,Davenport,Health Outcomes,Arthritis among adults aged >=18 Years,%,AgeAdjPrv,25.7,99685.0,Arthritis
350280,Iowa,Davenport,Health Outcomes,Arthritis among adults aged >=18 Years,%,CrdPrv,26.2,99685.0,Arthritis
350351,Iowa,Davenport,Health Outcomes,High blood pressure among adults aged >=18 Years,%,AgeAdjPrv,28.9,99685.0,High Blood Pressure
350352,Iowa,Davenport,Health Outcomes,High blood pressure among adults aged >=18 Years,%,CrdPrv,29.2,99685.0,High Blood Pressure
350387,Iowa,Davenport,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,AgeAdjPrv,61.3,99685.0,Taking BP Medication
350388,Iowa,Davenport,Prevention,Taking medicine for high blood pressure control among adults aged >=18 Years with high blood pressure,%,CrdPrv,77.1,99685.0,Taking BP Medication
350393,Iowa,Davenport,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,CrdPrv,5.8,99685.0,Coronary Heart Disease
350424,Iowa,Davenport,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,AgeAdjPrv,6.4,99685.0,Cancer (except skin)
350425,Iowa,Davenport,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 Years,%,CrdPrv,6.6,99685.0,Cancer (except skin)
350460,Iowa,Davenport,Health Outcomes,Current asthma among adults aged >=18 Years,%,AgeAdjPrv,8.8,99685.0,Current Asthma
350461,Iowa,Davenport,Health Outcomes,Current asthma among adults aged >=18 Years,%,CrdPrv,8.8,99685.0,Current Asthma
350496,Iowa,Davenport,Health Outcomes,Coronary heart disease among adults aged >=18 Years,%,AgeAdjPrv,5.6,99685.0,Coronary Heart Disease
350531,Iowa,Davenport,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,AgeAdjPrv,69.0,99685.0,Annual Checkup
350532,Iowa,Davenport,Prevention,Visits to doctor for routine checkup within the past Year among adults aged >=18 Years,%,CrdPrv,69.2,99685.0,Annual Checkup
350568,Iowa,Davenport,Prevention,Cholesterol screening among adults aged >=18 Years,%,AgeAdjPrv,71.8,99685.0,Cholesterol Screening
350569,Iowa,Davenport,Prevention,Cholesterol screening among adults aged >=18 Years,%,CrdPrv,71.4,99685.0,Cholesterol Screening
350640,Iowa,Davenport,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,AgeAdjPrv,5.9,99685.0,COPD
350641,Iowa,Davenport,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 Years,%,CrdPrv,6.0,99685.0,COPD
350816,Iowa,Davenport,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,AgeAdjPrv,8.9,99685.0,Diabetes
350817,Iowa,Davenport,Health Outcomes,Diagnosed diabetes among adults aged >=18 Years,%,CrdPrv,9.1,99685.0,Diabetes
350852,Iowa,Davenport,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,AgeAdjPrv,32.1,99685.0,High Cholesterol
350853,Iowa,Davenport,Health Outcomes,High cholesterol among adults aged >=18 Years who have been screened in the past 5 Years,%,CrdPrv,36.7,99685.0,High Cholesterol
350889,Iowa,Davenport,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,AgeAdjPrv,2.5,99685.0,Chronic Kidney Disease
350890,Iowa,Davenport,Health Outcomes,Chronic kidney disease among adults aged >=18 Years,%,CrdPrv,2.5,99685.0,Chronic Kidney Disease
350998,Iowa,Davenport,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,11.2,99685.0,Mental Health
350999,Iowa,Davenport,Health Outcomes,Mental health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,11.2,99685.0,Mental Health
351103,Iowa,Davenport,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,AgeAdjPrv,11.0,99685.0,Physical Health
351104,Iowa,Davenport,Health Outcomes,Physical health not good for >=14 days among adults aged >=18 Years,%,CrdPrv,11.1,99685.0,Physical Health
351175,Iowa,Davenport,Health Outcomes,Stroke among adults aged >=18 Years,%,AgeAdjPrv,2.8,99685.0,Stroke
351176,Iowa,Davenport,Health Outcomes,Stroke among adults aged >=18 Years,%,CrdPrv,2.9,99685.0,Stroke
